Ticket ID,Device,Reported Issue,Event feed / Comments / Conclusions,Completed works
IT-14744,Samsung Galaxy S21 FE 5G,"It froze and turned off during operation, then turned on and off again, the back of the phone got too hot",,
IT-14740,Redmi Note 9,not charging,,In-depth device diagnostics with partial disassembly
IT-14741,Asus TUF Gaming A15 FA507NVR,Autodesk Revit,,"Installation of image processing and graphics programs (for 1 pc.), Removal and cleaning of the system from the previous version of the application"
IT-14739,Lenovo Legion 5 17ACH6H,"Cleaning, phase, look at the thermal pads",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14734,Apple iPhone 13,Battery replacement,,"Courier delivery around the city, Battery replacement, battery with complete disassembly of the device"
IT-14731,Samsung Samsung SM-A266B/DS,Unlock phone (forgot password),,
IT-14725,Sony PRS-T2,"Not charging, computer saw it, data was not transferred","Conclusion: 🔍 Diagnostic result: During diagnostics, critical wear of the internal memory and system read/write cycles was detected. The device is partially detected by the computer, however, data exchange does not occur due to degradation of the internal storage and the system part of the board. This model uses memory with a limited resource of rewrite cycles. In practice, this can be considered the exhaustion of the device's factory resource - electronic components can no longer operate stably in normal mode. Such a malfunction is typical for old-generation equipment and actually refers to critical hardware wear. 🧰 Work performed: • Full hardware diagnostics carried out • Power and charging lines checked • PC connection test performed • System memory and controllers response checked 💰 Diagnostic cost: 500 UAH 💡 Conclusion: Further repair is technically inexpedient due to critical wear of the internal memory and the end of the component life. It is impossible to guarantee stable operation after possible recovery attempts.",
IT-14723,Redmi Redmi 23124RA7EO,Battery replacement,,"Courier delivery around the city, Battery replacement, battery with complete disassembly of the device"
IT-14724,Marshall Major 4,Not turning on,,
IT-14719,Hp EliteBook 745 G5,Keyboard replacement,,"Delivery by Nova Poshta at the courier company's rate, Replacement of a modular keyboard with complete disassembly of the device, Cleaning, prevention of the cooling system, replacement of thermoelements (lev IV)"
IT-14700,Lenovo carbon x1,Prevention + CMOS battery replacement,,"Cleaning, prevention of the cooling system, replacement of phase transition thermocouples (factory) (lev VII), Replacement of the laptop CMOS BIOS battery"
IT-14732,HP Omen 15,"Cleaning, Laptop Maintenance",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14715,Asus F541UJ,"the sound turns off on its own, the page scrolls, diagnose the charger. Cleaning, prevention,",,"Cleaning, prevention of the cooling system, replacement of thermoelements (lev V), delivery of spare parts by Nova Poshta"
IT-14761,Lenovo Thinkpad E580,"Cleaning, paste 10 watts",,"Cleaning, prevention of cooling system, replacement of thermoelements (lev IV)"
IT-14687,Acer AN515-43,"Prevention, thermal transfer, liquid thermal pads, cooler replacement (customer details)",,Restoring the device with functional diagnostics
IT-14678,Hp Pavilion x360 15,"Battery replacement, preventive maintenance, installation of 16gb DDR4 RAM",,"Cleaning, prevention of cooling system, replacement of thermoelements (lev V)"
IT-14664,Samsung Galaxy A04e,"After water, one does not see seven.",,
IT-14690,Seagate 1Tb,New power connector,,
IT-14663,Samsung P5200,Not charging,,"Start, restore the battery charge of the device with disassembly"
IT-14677,Asus TUF Gaming F15 FX507VV-LP146,Liquid metal,,"Cleaning, prevention of the cooling system, replacement of phase transition thermoelements (factory) (lev VII), Restoration of heat transfer between memory chips / VRM and radiator using thermal pads FCR-AS / Kafuter / FEHONDA and others"
IT-14673,Acer Nitro 5 AN515-45,"Cleaning, phase",,"Cleaning, prevention of the cooling system, replacement of phase transition thermoelements (factory) (lev VII), Restoration of heat transfer between memory chips / VRM and radiator using thermal pads FCR-AS / Kafuter / FEHONDA and others"
IT-14659,Google Pixel 2XL,The sensor does not work after a fall,,Restoring the device with functional diagnostics
IT-14656,Hp Pavilion Laptop 14,Cooler replacement,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14655,Xiaomi Mi Pad 6,Display replacement,,"Courier delivery in the city, Replacement of the display (module) of a smartphone/tablet/navigator"
IT-14639,Samsung Galaxy M32,"Display replacement, sensor not working",,"Replacement of the display (module) of a smartphone/tablet/navigator, Courier delivery around the city"
IT-14638,Acer A715-76G,Matrix replacement,,"Cleaning, prevention of the cooling system, replacement of phase transition thermocouples (factory) (lev VII), Replacement of the matrix (display, screen) with complete disassembly of the device"
IT-14649,Asus TUF Gaming F15 FX506HE,Gets very hot and noisy,,"Cleaning, prevention of the cooling system, replacement of phase transition thermoelements (factory) (lev VII), Restoration of heat transfer between memory chips / VRM and radiator using thermal pads FCR-AS / Kafuter / FEHONDA and others"
IT-14635,Xiaomi Redmi Note 9S,Shutting down,,
IT-14636,Asus X55VD,Housing repair,,"Replacement, restoration, repair of laptop hinges"
IT-14683,Newland Black,"Diagnose, connector",,
IT-14634,Apple iPhone 14 Pro,"Display, battery",,Replacing the display (module) of a smartphone/tablet/navigator
IT-14675,Acer AN515-58,phase transition,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14621,Samsung Galaxy A04e,"Diagnostics, does not turn on",,"Restoration of electronic boards of smartphones, tablets and portable equipment after liquid spills (cleaning, removing oxidation and repairing damaged components)"
IT-14625,Asus TUF DASH F15 FX516PC,"Phase transition, thermal pads if necessary, axis recovery, W key",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermoelements (factory) (lev VII), Restoration of heat transfer between memory chips / VRM and radiator using thermal pads FCR-AS / Kafuter / FEHONDA and others, Windows and software restoration + comprehensive ON-LINE maintenance (3 months)"
IT-14616,Samsung Galaxy S21 FE 5G,"Diagnose, suddenly turned off, turns on only to the Samsung screen saver",,"Soldering of BGA chip and elements, with replacement of device thermocouples"
IT-14613,POCO M3,Does not turn on,,
IT-14612,Apple 13,Battery replacement,,Battery replacement with complete disassembly of the device
IT-14610,Samsung Galaxy A8,Front camera replacement,,"Delivery to the ZhCh by Nova Poshta at the courier company's rate, Replacing the camera in the tablet"
IT-14604,Lenovo Ideapad 1 15AMN7,"Hinges broke off, cleaning",,"Replacement, restoration, repair of laptop hinges, Replacement, restoration of laptop case parts, Cleaning, prevention of the cooling system, replacement of thermoelements (lev IV)"
IT-14602,Samsung a165f,problems with the wifi network,,Fault diagnosis with complete disassembly of the device
IT-14600,Logitech MX Master 3S,button replacement,,"Restoration, replacement of power connector, audio, connectors, USB, video (laptop, PC, tablet laptop, etc.)"
IT-14598,Blackview Blackview Tab60,"Flooded, 2 weeks","Notes: 🔧 *Works performed:* • Full diagnostics of the device • Cleaning the board from the effects of flooding • Attempts to restore damaged power circuits • Component soldering and checking the main components ⚙️ *Technical explanation:* After prolonged contact with moisture, oxidation and electrochemical corrosion processes begin inside the device. Even if the tablet does not turn on immediately after flooding, the damage continues to progress over time. In this case, the prolonged presence of liquid inside the device led to multiple damage to electronic components and conductors on the motherboard. The cleaning work carried out and attempts to restore did not give a positive result. The situation is additionally complicated by the fact that this model is a rare Chinese device. The necessary electronic components, donor boards and technical documentation are practically not available in the public domain, so there is no possibility of further selection and replacement of elements for experimental restoration. 📌 *Conclusion:* The motherboard has critical damage due to flooding. Further repair is technically impossible and economically inexpedient. Conclusion: 🔧 *Works performed:* • Full diagnostics of the device • Cleaning the board from the effects of flooding • Attempts to restore damaged power circuits • Component soldering and checking the main components ⚙️ *Technical explanation:* After prolonged contact with moisture, oxidation and electrochemical corrosion processes begin inside the device. Even if the tablet does not turn on immediately after flooding, the damage continues to progress over time. In this case, the prolonged presence of liquid inside the device led to multiple damage to electronic components and conductors on the motherboard. The cleaning work carried out and attempts to restore did not give a positive result. The situation is additionally complicated by the fact that this model is a rare Chinese device. The necessary electronic components, donor boards and technical documentation are practically not available in the public domain, so there is no possibility of further selection and replacement of elements for experimental restoration. 📌 *Conclusion:* The motherboard has critical damage due to flooding. Further repair is technically impossible and economically inexpedient.",
IT-14599,Lenovo Ideapad Gaming 3,"Phase, match thermal pads",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14591,OSCAL OSCAL PAD 9,The power button does not work periodically,,Fault diagnosis with complete disassembly of the device
IT-14587,Hp Victus 15-fa1013ua,"Prevention, cleaning, phase",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14581,Samsung Galaxy S9+,Replacing the back cover and power button,,
IT-14567,Xiaomi Redmi 9C (NFC),Does not turn on,,"Courier delivery in the city, Replacement of the display (module) of a smartphone/tablet/navigator"
IT-14576,Lenovo 15IRX9,"Laptop prevention, phase",,"Cleaning, prevention of the cooling system, replacement of phase transition thermoelements (factory) (lev VII), Restoration of heat transfer between memory chips / VRM and radiator using thermal pads FCR-AS / Kafuter / FEHONDA and others"
IT-14575,Google Pixel 7,Display replacement,,Replacing the display (module) of a smartphone/tablet/navigator
IT-14580,Medion Black,video card,,"Installing, replacing the video card of the device with complete disassembly"
IT-14560,Asus X541SC,The keyboard does not work after replacing the frame and back cover,,"Delivery to the Russian Federation by Nova Poshta at the courier company's rate, Replacement of a modular keyboard with complete disassembly of the device"
IT-14558,Marshall Major 4,Replacing the button with a cable,,Disassembly / assembly of the device
IT-14577,Hp 15s-fq2031ua,Battery replacement,,"Battery replacement, battery with complete disassembly of the device, cleaning, cooling system maintenance, replacement of thermoelements (lev IV)"
IT-14595,Google Pixel 8,Faulty wifi and Bluetooth,,Fault diagnosis with complete disassembly of the device
IT-14578,Acer Aspire VN7-793G,"The cooler is noisy, the LAN port works at an angle, the matrix flickers periodically/when moving (loop)","Notes: The client pays for and collects the laptop. After the battery and fans arrive, the client must be contacted and the laptop must be requested for installation of spare parts and replacement of the thermal interface (phase transition). These works are paid separately and are not included in the current payment amount.","Cleaning, prevention of the cooling system, replacement of thermoelements (lev I), Pre-order of the cooling system (CPU/GPU fans) of the Acer Nitro VN7-793 / VN7-593 series laptop, Pre-order of the battery of the Acer Aspire V15/V17 Nitro VN7-593G / VN7-793G series laptop, Hardware prevention of the cooling system (Lev IV: Premium thermal paste), Replacement of the internal battery (battery) of the laptop (without repackaging), Hardware replacement of the active cooling module (cooler/fan/turbine) with comprehensive cooling restoration"
IT-14553,Asus K6602V,Prevention,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14551,Logitech MX Master 3S,"The left mouse button is malfunctioning (sticks, doesn't work, works twice)",,"Restoration, replacement of power connector, audio, connectors, USB, video (laptop, PC, tablet laptop, etc.)"
IT-14582,Razer BlackWidow V3 Mini Hyperspeed,"Not working, diagnose",,"Restoration of electronic boards of smartphones, tablets and portable equipment after liquid spills (cleaning, removing oxidation and repairing damaged components)"
IT-14552,Acer AN515-52,Prevention,,"Cleaning, prevention of cooling system, replacement of thermoelements (lev V)"
IT-14550,Asus FA707NU,"Windows Update, Laptop Prevention",,"Windows and software recovery + comprehensive ON-LINE maintenance (3 months), cleaning, cooling system maintenance, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14546,Lenovo Tab P11,"It turns on, but the sensor doesn't work, it stopped when I inserted a SIM card",,Restoring the device with functional diagnostics
IT-14547,AMD Ryzen 5 5600,Align 2 legs,,Restoring the device with functional diagnostics
IT-14545,Lenovo Legion 7 16ACHg6,"Cleaning, check for liquid metal and need to change thermal pads",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14548,Asus FA506NFR,Laptop prevention,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14533,Dream Machines GM7PG5M,Topcase replacement,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII), Replacement of the matrix (display, screen) with complete disassembly of the device, Replacement, restoration of laptop case parts"
IT-14536,Lenovo Legion 5 Pro,"The keys en. A, S, D, Fn stuck, after strong heating they stopped working, if you can repair the keys - cleaning (phase)",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII), Delivery by Nova Poshta at the courier company's rate, Replacement of the built-in keyboard with complete disassembly of the device and resoldering of the fixing points"
IT-14532,Hp Probook 440 G7,The right and left touchpad buttons are not working,,"Restoring the touchpad and other laptop cursor control devices, cleaning, cooling system maintenance, replacing phase transition thermocouples (factory) (lev VII)"
IT-14534,Logitech G102 LIGHTSYNC Gaming Mouse,Mouse wheel,,Repair of the computer mouse scroll wheel with restoration of correct operation of the mechanism
IT-14528,Dell Inspiron 7000,"Error when starting the laptop, possibly reinstalling Windows, valuable information is present, as an option - installing a new SSD and a pocket",,"Windows and software recovery + comprehensive ON-LINE maintenance (3 months), cleaning, cooling system maintenance, replacement of thermoelements (lev IV)"
IT-14527,Apple 11,"Battery, speakers, glass, water got into the speakers while listening to a video",,Restoring the device with functional diagnostics
IT-14526,Everest Black,"Cleaning, prevention, check the operation of office and programs",,
IT-14524,Lenovo ThinkCentre 10AS,"Cleaning, prevention, check the operation of office and programs",,
IT-14522,Lenovo Ideapad 1 15ADA7,"Cleaning, prevention, check the operation of office and programs",,
IT-14555,Samsung P5200,connector replacement,,"Replacement of connectors (power, audio, USB) of a phone, tablet, Courier delivery around the city"
IT-14523,Lenovo Ideapad 330-15IKB,"Cleaning, prevention, check the operation of office and programs",,
IT-14549,Motorola g20,module replacement,,Replacing the display (module) of a smartphone/tablet/navigator
IT-14519,Logic power Black,OS does not load,,Resetting the BIOS password using software
IT-14525,Everest Black,"Cleaning, prevention, check the operation of office and programs",,
IT-14517,CUBOT CUBOT X30,Display replacement,,"Replacement of the display (module) of a smartphone/tablet/navigator, Courier delivery around the city"
IT-14515,Hp 15-cs3073cl,BATTERY REPLACEMENT,,Battery replacement with complete disassembly of the device
IT-14520,Asus Vivobook Go 15,Windows,,Windows and software recovery + comprehensive ON-LINE maintenance (3 months)
IT-14511,Xiaomi Redmi 9T,"The screen was replaced, the speaker does not work well, the screen goes blank when calling",,
IT-14518,Apple iPhone XR (A1984),Replacing the top speaker (sound is poor during a call),,"Courier delivery around the city, Disassembly / assembly of the device"
IT-14514,Lenovo 330-15ICH,"Prevention, diagnose the battery, it doesn't hold a charge, agree on a replacement, the back of the case is coming off - take a look",,"Cleaning, prevention of the cooling system, replacement of thermocouples with phase transition (factory) (lev VII), Battery replacement, battery with complete disassembly of the device"
IT-14508,HP 470 G7,"Cleaning, install 2x8 RAM,",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermoelements (factory) (lev VII), DDR4 8GB 2666 MHz memory module, Original fan for HP ProBook 470 G7 laptop (L22529-001) (Cooler), Delivery by Nova Poshta to the Russian Federation at the courier company's rate"
IT-14504,Hp Pavilion Laptop 15,"Cleaning, phase",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14505,Dell Inspiron 3521,Phase,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14500,Redmi Redmi 9,Replacing the bottom board/connector,,"Courier delivery in the city, Replacement of connectors (power, audio, USB) of the phone, tablet"
IT-14501,HP ProBook 440,Matrix replacement,,"Replacing the matrix (display, screen) with complete disassembly of the device"
IT-14482,Samsung Galaxy A13,Display replacement,,"Replacement of the display (module) of a smartphone/tablet/navigator, Courier delivery around the city"
IT-14487,Hp Victus Gaming Laptop 16,"The screen started flickering, then turned off and won't turn on, the indicator is on",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII), Restoration of the device with functional diagnostics"
IT-14485,Apple iPhone 11,"Display replacement, bottom part not working",,"Replacement of the display (module) of a smartphone/tablet/navigator, Courier delivery around the city"
IT-14481,Samsung Galaxy S10+,Battery replacement,,"Battery replacement, battery with complete disassembly of the device, courier delivery around the city"
IT-14472,Dell Latitude 7420,The problem with the battery remains.,,
IT-14469,Dell Latitude 5591,The memory problem continues,,"Replacing/installing/adding SSD, HDD, RAM, DVD, etc. WITHOUT completely disassembling the device"
IT-14467,Apple 13,battery replacement,,Battery replacement with complete disassembly of the device
IT-14468,MSI Thin A15 B7VF,"Prevention, phase, thermal pads",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14464,Apple a1707,"Battery replacement, agree on cleaning, thermal paste, diagnose for additional problems",,"Battery replacement, battery with complete disassembly of the device, Delivery by ZCH Nova Poshta at the courier company's rate, Cleaning, prevention of the cooling system, replacement of thermocouples with phase transition (factory) (lev VII)"
IT-14461,Dell Latitude 5591,Windows,,
IT-14460,Samsung Galaxy A16,Doesn't turn on after update,,Fault diagnosis with complete disassembly of the device
IT-14454,Motorola xt2535-14,start and flash and change the display,"Conclusion: 🔍 Diagnostic result: During diagnostics, it was determined that the device is locked by FRP (Factory Reset Protection). ❗ It is impossible to gain access using standard firmware or recovery methods. 🧪 Technical explanation: To unlock this type of device, you must: ➡️ perform firmware via SPI (direct intervention in the board's memory) This is a complex procedure that requires: dismantling the board working with the memory chip of special equipment In this case: ❗ performing such a repair is impractical 📄 Conclusion: ❌ No repair The reason is FRP-locking, which requires complex SPI-intervention",Fault diagnosis with complete disassembly of the device
IT-14456,Xiaomi Mi Laptop Pro 14,Noise problem and blinking matrix,,
IT-14453,Redmi m2006c3mng,display,,Replacing the display (module) of a smartphone/tablet/navigator
IT-14450,Asus Vivobook K513E,"Started warming up, looked at thermal pads, thermal paste and agreed on the price",,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14443,Samsung Galaxy A55,"Connector replacement, diagnose before replacement",,Power connector recovery
IT-14498,Medion Black,"Prevention, browser freezes",,
IT-14204/1,Asus M3500Q,The new cooler is very noisy.,,
IT-14488,HP 15,"Flooded, does not turn on",,
IT-14486,HyperX HX-MC002B,Mouse wheel gets stuck when scrolling,,
IT-14459,Redmi G,"Problem with the matrix cable after installing a new module, there is a cable from the donor",,
IT-14451,Dell Latitude 7420,Battery replacement,,
IT-14440,Lenovo Thinkpad E15 G2,"Flooded, keyboard replacement, sensor on power button not working",,
IT-14439,realme C67 4G,"Problem with charge controller, battery was replaced - problem remained",,
IT-14438,Dell Latitude 5591,"Suddenly the laptop started not working correctly. It turns on - the screen does not work. It worked once, but then it still turned off. Diagnose. When turned on, the screen flashes, most likely the cable or matrix",,
IT-14433,Asus FA506IV,"Does not hold the load, when playing, it works fine for 2 seconds and then freezes for 5 seconds.","Conclusion: 🔍 Diagnostic result: During diagnostics, it was found that: ❗ the system issues errors on the processor (CPU) ❗ unstable operation under load ❗ characteristic “freezes” and hangs This indicates a hardware malfunction of the processor or its internal components. 🧪 Technical explanation: In this model, the processor is soldered to the board (BGA), therefore: its replacement is a complex and expensive procedure there is no guarantee of long-term operation after repair With such symptoms, the processor cannot stably process the load, which causes “freezes”. 📄 Conclusion: ❌ No repair The reason is a processor malfunction",
IT-14424,Logitech Pro superlight,Does not work after impact,,
IT-14411,Asus FX505DT,"drowned - works, does not see the network, no audio, 2 out of 3 usbs do not work, hdmi does not output. keyboard replacement. + prevention",,Fault diagnosis with complete disassembly of the device
IT-14418,HP 15-fb2287nw,Broken matrix,,"Matrix 15.6 1920*1080, 40pin eDP, IPS, 144HZ, LED, SLIM (without bars and ears), for laptop"
IT-14415,Asus TUF Gaming F15 FX506LH,"Diagnostics, noisy during operation, possibly cooler, cleaning, replacement of thermal interfaces",,
IT-14432,Google Pixel 4a 5G,Battery replacement,,
IT-14428,Keychron K5SE 104 Key,"battery replacement, swollen",,
IT-14431,Apple 11,Battery replacement,,
IT-14427,Lenovo Ideapad 3,Cleaning + restoration of hinges,,
IT-14408,Samsung Galaxy A32,Battery replacement,,"Samsung EB-BA315 battery, Battery replacement, Battery with complete disassembly of the device"
IT-14404,Samsung A057G,frp,,
IT-14413,Logitech MX Master 2S,Problem with laser or scroll wheel,"Conclusion: 🔍 Result of diagnostics and performed work: The mouse is ready for delivery ✅ During diagnostics, it was determined that the problem was related to contamination of the internal mechanisms and sensor, which affected the scrolling and positioning. 🧰 Performed work: 🧹 Complete cleaning of the mouse 🔧 Cleaning the sensor and scroll wheel mechanism 🧪 Control testing of the work After the performed work: ✔️ the sensor works correctly ✔️ scrolling is restored ✔️ the mouse works stably 📄 Conclusion: ✔️ The malfunction has been eliminated ✔️ The device is working properly ✔️ Cost of work: 400 UAH","Cleaning the device from dust, dirt and accumulated dirt for stable operation"
IT-14419,Lenovo Ideapad gaming 3 15ACH6,Restore BIOS,"Conclusion: 🔍 Diagnostic result: According to the agreement, the following was performed: 💾 BIOS flashing ❗ After the firmware, the situation did not change. During further diagnostics, it was established: ❗ the device reacts to physical deformation of the board ❗ possible mechanical impact (impact / bending) This indicates: ➡️ CPU chip / contact breakage 🧪 Technical explanation: In this model, the processor is installed using BGA technology (soldered to the board). With mechanical impact, the following are possible: microcracks in the soldering partial or complete separation of contacts unstable startup when the board is bent That is why the laptop may react to pressing or changing position. 📄 Conclusion: ❌ No repair The reason is a processor chip / damage to the motherboard",Fault diagnosis with complete disassembly of the device
IT-14399,Lenovo Ideapad 3 15IAU7,Housing repair,,"Replacement, restoration, repair of laptop hinges, Replacement, restoration of laptop case parts, Cleaning, prevention of the cooling system, replacement of thermoelements (lev IV)"
IT-14397,Asus ROG Strix Scar 17,Prevention,,"Cleaning, prevention of the cooling system, replacement of liquid metal and thermal interfaces (lev II), Restoration of heat transfer between memory chips / VRM and radiator using thermal pads FCR-AS / Kafuter / FEHONDA and others"
IT-14381,Hoco Black,After changing the cable - does not work,,
IT-14410,Apple A3403,"Install the latest ""Parallels Desktop for Mac"" 26 latest, on the OS, install all the basic software + Lightroom, Photoshop, SketchUp 24, try installing ArchiCAD (or some old one)",,"Installation of Microsoft Office package, Installation of specialized software (for 1 pc.), Activation of Microsoft Office, Activation of Windows OS"
IT-14377,Marshall Major 4,Reflash for bluetooth to work,,"Complex replacement, soldering of the connector, restoration of tracks on the board (power, audio, USB) of a smartphone, tablet, etc."
IT-14376,Asus G513IM,"Liquid metal replacement, phase transition, thermal pads, cleaning, remove the lower backlight cable",Conclusion: 🔍 Result of the work performed: The laptop is ready for delivery ✅ All agreed work has been completed in full. 🧰 Work performed: 🧹 Complete cleaning of the cooling system 🌡️ Replacement of liquid metal 🧊 Update of the thermal interface with phase transition 💧 Replacement of thermal pads 🔌 The lower backlight loop has been removed as agreed 🧪 Technical explanation: A comprehensive maintenance of the cooling system has been performed for stable operation of the laptop under load. After the service: ✔️ heat transfer between the chips and the radiator has been restored ✔️ the temperature regime has been improved ✔️ the cooling system is working correctly 📄 Conclusion: ✔️ All work has been completed ✔️ The laptop is working properly ✔️ The device is ready for further use,"Cleaning, prevention of the cooling system, replacement of liquid metal and thermal interfaces (lev II), Restoration of heat transfer between memory chips / VRM and radiator using thermal pads FCR-AS / Kafuter / FEHONDA and others"
IT-14359,Samsung Galaxy A15,Connector replacement,,"Replacement of connectors (power, audio, USB) of a phone, tablet"
IT-14372,Asus Vivobook 16X,Cleaning,,"Cleaning, prevention of the cooling system, replacement of phase transition thermoelements (factory) (lev VII), Restoration of heat transfer between memory chips / VRM and radiator using thermal pads FCR-AS / Kafuter / FEHONDA and others"
IT-14371,Asus FX505GM,"Matrix cover replacement, keyboard topcase replacement + phase transition cleaning",Conclusion: 🔍 Result of the work performed: The laptop is ready for delivery ✅ All agreed work has been completed in full. 🧰 Work performed: 🖥️ Replacing the matrix cover ⌨️ Replacing the top case together with the keyboard 🧹 Complete cleaning of the cooling system 🌡️ Updating the thermal interface with a phase transition 🧪 Technical explanation: The laptop's case has been restored and the cooling system has been fully serviced for stable operation under load. After the work performed: ✔️ the case has been restored ✔️ the keyboard works correctly ✔️ the temperature regime has been stabilized 📄 Conclusion: ✔️ All work has been completed ✔️ The laptop is completely ready for further use,"Replacement of modular keyboard with complete disassembly of the device, Replacement of matrix cover with complete disassembly of the device, Cleaning, prevention of cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14354,Redmi Pad SE,"Charging slowly, initial diagnosis shows a problem with the connector",,"Replacement of connectors (power, audio, USB) of a phone, tablet"
IT-14370,Asus Vivobook 16X,Housing repair,,"Replacement, restoration of laptop case parts"
IT-14426,Marshall Major 4,Not charging,,
IT-14355,Dell Inspiron 3552,Connector replacement + case repair (So that it is not too expensive),,"Restoration, replacement of power connector, audio, connectors, USB, video (laptop, PC, tablet laptop, etc.)"
IT-14347,Lenovo Thinkpad X1 Yoga,Does not turn on (according to the customer - from the charging connector),"Conclusion: 🔍 Diagnostic result: Serious damage to the power supply circuits was detected. After applying voltage from the charging connector, a short circuit occurred, which led to the failure of the PWM controller and further damage to the central processor. 🧰 Work performed: — 🔎 Initial diagnostics of the board were carried out — ⚡ Short circuit detected in the power lines — 🧪 Key power elements (VRM, PWM) were checked — ❌ Critical damage to the processor was recorded 💡 Conclusion: The processor in this model is unsoldered on the motherboard, so its replacement is impossible separately. Repair involves replacing the entire motherboard, which in most cases is economically inexpedient.",Motherboard replacement with complete disassembly of the device and replacement of thermal interfaces
IT-14337,Motorola Edge 20 Pro,Something got into the connector.,,
IT-14335,Lenovo LOQ,Phase,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-14332,Dell STUDIO 1749,"Flooding, the screen didn't work, dried it - it started working, the touch bar doesn't work",,"Restoration of electronic boards of smartphones, tablets and portable equipment after liquid spills (cleaning, removal of oxidation and repair of damaged components), Delivery by Nova Poshta at the courier company's rate"
IT-14331,Lenovo Ideapad 1 15ALC7,Matrix replacement,,"Replacement of the matrix (display, screen) with complete disassembly of the device, cleaning, prevention of the cooling system, replacement of thermocouples with phase transition (factory) (lev VII)"
IT-14327,Lenovo Ideapad Gaming 3,WI-FI and battery not working,"Conclusion: 🔍 Diagnostic result: A malfunction was detected in the motherboard power supply unit, due to which there is no correct power supply to individual modules (in particular, Wi-Fi and the battery charging controller). This led to their incorrect operation or complete failure. 🧰 Work performed: — 🔧 Repair of the motherboard power supply circuits — 🔩Replacement of faulty microcircuits — ⚡ Restoration of stable power supply to the nodes — 🧪 Testing the operation of Wi-Fi and battery charging 💡 Conclusion: The motherboard is restored. The Wi-Fi module and battery charging system are working correctly. The device is ready for use.",Motherboard power supply repair with chip replacement and board restoration
IT-14323,Apple iPhone 12 Pro Max,Rear window and camera glass replacement,,Restoring the device with functional diagnostics
IT-14320,Asus MeMO Pad 10 ME102A,Tablet connector replacement,,"Replacement of connectors (power, audio, USB) of a phone, tablet"
IT-14315,Hoco Black,Cable replacement,,Replacing the cable in the laptop power supply without the cost of the cable
IT-14324,Asus M1603I,"Prevention, noise, temperature",,"Cleaning, preventive maintenance of the cooling system, replacement of thermoelements (lev III)"
IT-14353,Asus FX707ZC4-HX081,"Cleaning, phase change, thermal pads (customer brought)",,"Cleaning, prevention of the cooling system, replacement of phase transition thermoelements (factory) (lev VII), Restoration of heat transfer between memory chips / VRM and radiator using thermal pads FCR-AS / Kafuter / FEHONDA and others"
IT-14310,Black Black,Re-solder the part,,
IT-14348,Dell Vostro 15 3515,"Coffee spilled, clean, prevention, match thermal paste, thermal pads",,"Windows and software recovery + comprehensive ON-LINE maintenance (3 months), Cleaning, cooling system prevention, replacement of thermoelements (lev V), Cleaning the keyboard from sticky liquids and dirt (with full disassembly)"
